date,crop,price,temp,high_temp,low_temp,rain,wind,humidity,sunshine,sunlight,product,KRW/USD
2019-12-09,배추,10200,2.5,9.7,-4.1,0.1,1.2,71.0,6.3,8.5,1859705.0,1189.45
2019-12-10,배추,9600,6.1,13.0,1.1,0.4,1.2,80.0,5.0,7.13,1859705.0,1191.01
2019-12-11,배추,9800,6.7,13.0,1.6,0.3,2.6,69.0,4.3,5.68,1859705.0,1192.2
2019-12-12,배추,10000,1.4,5.9,-2.7,0.0,2.1,49.0,8.7,10.9,1859705.0,1186.41
2019-12-13,배추,9700,1.2,7.8,-5.0,0.1,1.2,57.0,6.9,8.41,1859705.0,1171.97
2019-12-16,배추,9900,6.7,13.9,0.6,0.0,1.0,74.0,7.0,8.54,1859705.0,1171.8
2019-12-17,배추,9900,8.0,12.1,3.5,2.2,1.6,84.0,0.7,2.48,1859705.0,1165.81
2019-12-18,배추,10200,4.4,8.4,1.5,0.3,2.1,70.0,5.4,7.45,1859705.0,1168.02
2019-12-19,배추,10000,1.9,6.7,-1.5,0.0,2.2,53.0,7.7,10.18,1859705.0,1165.04
2019-12-20,배추,10000,0.7,5.3,-3.2,0.1,1.6,60.0,6.4,8.93,1859705.0,1160.3
2019-12-23,배추,10000,3.5,8.4,-1.3,0.7,1.5,75.0,4.3,6.47,1859705.0,1163.64
2019-12-24,배추,9000,1.6,8.6,-2.4,0.0,1.1,73.0,7.2,9.6,1859705.0,1163.21
2019-12-26,배추,9200,3.3,5.7,1.1,1.2,1.9,70.0,0.3,2.39,1859705.0,1161.18
2019-12-27,배추,9800,0.2,4.8,-3.6,0.0,2.3,54.0,8.3,10.58,1859705.0,1160.87
2019-12-30,배추,10400,4.7,9.5,-0.1,0.9,2.0,81.0,1.9,4.22,1859705.0,1155.75
2019-12-31,배추,11600,-4.1,0.2,-7.0,0.1,3.4,46.0,8.7,11.45,1859705.0,1155.46
2020-01-02,배추,11889,1.1,6.0,-3.2,0.0,1.6,70.0,5.0,6.93,2242640.0,1157.95
2020-01-03,배추,10900,1.7,7.4,-2.5,0.0,1.7,66.0,7.9,9.83,2242640.0,1165.15
2020-01-06,배추,10500,3.2,5.6,-0.9,9.4,1.3,83.0,0.0,1.99,2242640.0,1167.49
2020-01-07,배추,11100,8.7,13.4,4.8,42.4,2.1,96.0,0.0,0.96,2242640.0,1166.21
2020-01-08,배추,10800,5.2,11.4,2.9,4.6,3.8,79.0,1.9,3.77,2242640.0,1170.61
2020-01-09,배추,10080,1.6,5.2,-1.6,0.0,2.3,67.0,7.0,9.47,2242640.0,1158.63
2020-01-10,배추,10080,0.7,7.3,-4.0,0.0,1.2,69.0,8.0,10.86,2242640.0,1161.18
2020-01-13,배추,9960,0.1,3.7,-3.2,0.0,2.3,59.0,6.9,10.01,2242640.0,1156.25
2020-01-14,배추,10160,-0.6,4.5,-4.1,0.0,1.5,57.0,6.2,9.41,2242640.0,1156.28
2020-01-15,배추,9960,-1.2,4.2,-5.4,0.0,1.6,60.0,8.3,11.62,2242640.0,1156.84
2020-01-16,배추,10160,-0.6,5.6,-5.3,0.0,1.3,54.0,7.3,10.85,2242640.0,1160.86
2020-01-17,배추,9960,0.5,6.7,-3.7,0.2,1.2,57.0,6.0,8.92,2242640.0,1159.08
2020-01-20,배추,9960,2.3,6.8,-1.6,0.0,2.4,57.0,7.6,10.73,2242640.0,
2020-01-21,배추,9960,0.4,6.9,-5.3,0.0,1.4,51.0,9.1,12.82,2242640.0,1166.56
2020-01-22,배추,10200,2.9,5.6,-0.2,4.4,1.0,68.0,0.7,3.18,2242640.0,1165.68
2020-01-23,배추,10000,5.1,10.2,1.6,2.0,1.2,79.0,4.6,8.45,2242640.0,1168.38
2020-01-28,배추,10250,6.4,10.2,3.1,1.1,1.9,75.0,1.8,6.95,2242640.0,1176.23
2020-01-29,배추,10200,5.4,9.4,2.4,0.9,1.4,74.0,2.4,6.98,2242640.0,1176.98
2020-01-30,배추,10400,4.3,8.8,0.9,0.9,1.5,72.0,4.5,8.59,2242640.0,1191.94
2020-01-31,배추,10000,3.0,7.8,-0.7,0.0,1.4,73.0,5.1,9.45,2242640.0,1191.3
2020-02-03,배추,9600,1.3,5.7,-2.8,0.0,2.3,56.0,8.5,13.18,2242640.0,1194.8
